Co Code,County,Dist Code,District,Position,White,%White,Black,%Black,Hispanic,%Hispanic,Asian,%Asian,American Indian,%American Indian,Hawaiian Native,%Hawaiian Native,Two or More Races,%Two or More Races,Total,Male,%Male,Female,%Female,%Non Binary
03,Bergen,1760,Glen Rock Public School District,Teacher,209.5,95.1,1.0,0.5,3.6,1.6,6.2,2.8,0.0,0.0,0.0,0.0,0.0,0.0,220.3,46.2,21.0,174.1,79.0,<.1
03,Bergen,1760,Glen Rock Public School District,Supervisors/Coordinators,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,2.0,66.7,<.1
03,Bergen,1860,Hackensack School District,Administrators,8.0,32.0,7.0,28.0,10.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,11.0,44.0,14.0,56.0,<.1
03,Bergen,1860,Hackensack School District,Special Service,47.0,61.8,8.0,10.5,18.5,24.3,2.5,3.3,0.0,0.0,0.0,0.0,0.0,0.0,76.0,7.5,9.9,68.5,90.1,<.1
03,Bergen,1860,Hackensack School District,Teacher,267.3,62.3,49.0,11.4,97.0,22.6,15.0,3.5,0.0,0.0,1.0,0.2,0.0,0.0,429.3,122.5,28.5,306.8,71.5,<.1
03,Bergen,1860,Hackensack School District,Supervisors/Coordinators,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,28.6,5.0,71.4,<.1
03,Bergen,2050,Harrington Park School District,Administrators,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,75.0,1.0,25.0,<.1
03,Bergen,2050,Harrington Park School District,Special Service,8.1,80.2,0.0,0.0,0.0,0.0,2.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,10.1,100.0,<.1
03,Bergen,2050,Harrington Park School District,Teacher,50.7,91.0,0.0,0.0,1.0,1.8,3.0,5.4,0.0,0.0,0.0,0.0,1.0,1.8,55.7,6.0,10.8,49.7,89.2,<.1
03,Bergen,2050,Harrington Park School District,Supervisors/Coordinators,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<.1
03,Bergen,2080,Hasbrouck Heights School District,Administrators,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,70.0,3.0,30.0,<.1
03,Bergen,2080,Hasbrouck Heights School District,Special Service,22.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1,0.1,0.5,22.0,99.5,<.1
03,Bergen,2080,Hasbrouck Heights School District,Teacher,145.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,32.9,22.7,112.1,77.3,<.1
03,Bergen,2080,Hasbrouck Heights School District,Supervisors/Coordinators,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,2.0,66.7,<.1
03,Bergen,2090,Haworth Public School District,Administrators,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,1.0,33.3,<.1
03,Bergen,2090,Haworth Public School District,Special Service,8.0,94.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.9,0.0,0.0,8.5,0.5,5.9,8.0,94.1,<.1
03,Bergen,2090,Haworth Public School District,Teacher,38.0,92.7,0.0,0.0,1.0,2.4,1.0,2.4,0.0,0.0,1.0,2.4,0.0,0.0,41.0,5.0,12.2,36.0,87.8,<.1
03,Bergen,2090,Haworth Public School District,Supervisors/Coordinators,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,<.1
03,Bergen,2180,Hillsdale School District,Administrators,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,83.3,1.0,16.7,<.1
03,Bergen,2180,Hillsdale School District,Special Service,17.5,94.6,0.0,0.0,0.0,0.0,1.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,18.5,1.4,7.6,17.1,92.4,<.1
03,Bergen,2180,Hillsdale School District,Teacher,112.9,93.5,0.0,0.0,5.8,4.8,1.0,0.8,0.0,0.0,0.0,0.0,1.0,0.8,120.7,10.6,8.8,110.1,91.2,<.1
03,Bergen,2180,Hillsdale School District,Supervisors/Coordinators,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,100.0,<.1
03,Bergen,2200,Ho-Ho-Kus School District,Administrators,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,3.0,75.0,<.1
03,Bergen,2200,Ho-Ho-Kus School District,Special Service,9.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,9.3,100.0,<.1
03,Bergen,2200,Ho-Ho-Kus School District,Teacher,46.4,95.9,0.0,0.0,1.0,2.1,1.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,48.4,4.0,8.3,44.4,91.7,<.1
03,Bergen,2200,Ho-Ho-Kus School District,Supervisors/Coordinators,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,1.0,50.0,<.1
03,Bergen,2620,Leonia Public School District,Administrators,7.0,70.0,2.0,20.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,60.0,4.0,40.0,<.1
03,Bergen,2620,Leonia Public School District,Special Service,23.3,79.5,0.0,0.0,2.0,6.8,3.0,10.2,0.0,0.0,0.0,0.0,1.0,3.4,29.3,2.0,6.8,27.3,93.2,<.1
03,Bergen,2620,Leonia Public School District,Teacher,139.8,79.4,1.0,0.6,13.0,7.4,21.2,12.0,0.0,0.0,0.0,0.0,1.0,0.6,176.0,43.6,24.8,132.4,75.2,<.1
03,Bergen,2620,Leonia Public School District,Supervisors/Coordinators,3.8,67.9,0.0,0.0,1.0,17.9,0.8,14.3,0.0,0.0,0.0,0.0,0.0,0.0,5.6,3.2,57.1,2.4,42.9,<.1
03,Bergen,2710,Little Ferry Public School District,Administrators,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,50.0,2.0,50.0,<.1
03,Bergen,2710,Little Ferry Public School District,Special Service,3.0,50.0,0.0,0.0,2.0,33.3,1.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,16.7,5.0,83.3,<.1
03,Bergen,2710,Little Ferry Public School District,Teacher,70.0,90.9,0.0,0.0,5.0,6.5,2.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,77.0,7.0,9.1,70.0,90.9,<.1
03,Bergen,2710,Little Ferry Public School District,Supervisors/Coordinators,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,1.0,33.3,<.1
03,Bergen,2740,Lodi School District,Administrators,11.0,91.7,0.0,0.0,1.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,75.0,3.0,25.0,<.1
03,Bergen,2740,Lodi School District,Special Service,38.1,88.4,0.0,0.0,4.6,10.7,0.4,0.9,0.0,0.0,0.0,0.0,0.0,0.0,43.1,4.2,9.7,38.9,90.3,<.1
03,Bergen,2740,Lodi School District,Teacher,210.3,94.6,1.0,0.5,7.4,3.3,3.5,1.6,0.0,0.0,0.0,0.0,0.0,0.0,222.2,40.4,18.2,180.8,81.4,<.1
03,Bergen,2740,Lodi School District,Supervisors/Coordinators,10.5,90.5,0.0,0.0,1.0,8.6,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,11.6,6.2,53.4,5.4,46.6,<.1
03,Bergen,2860,Lyndhurst School District,Administrators,12.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,58.3,5.0,41.7,<.1
03,Bergen,2860,Lyndhurst School District,Special Service,24.0,92.3,0.0,0.0,1.0,3.8,1.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.1,11.9,22.9,88.1,<.1
